Code,Problem Name,Obj Value
best,bernasconi.60.8,-6580
opt,bernd,112090.566
opt,bernd2,112090.566
bestdual,beuster,29606.18502
best,beuster,116329.6706
inf,bf0432-007,
inf,bf1355-638,
inf,bf2670-001,
opt,bg512142,184203
opt,biella1,3065005.78
opt,bienst1,46.75
opt,bienst2,54.6
opt,bier127,112711
opt,binkar10_1,6742.2
opt,bip_cross_min.10.10.10.1,1
opt,bip_cross_min.10.10.20.1,11
opt,bip_cross_min.10.10.30.1,52
opt,bip_cross_min.10.10.40.1,142
opt,bip_cross_min.10.10.50.1,276
opt,bip_cross_min.10.10.60.1,459
opt,bip_cross_min.10.10.70.1,717
opt,bip_cross_min.10.10.80.1,1037
opt,bip_cross_min.10.10.90.1,1387
best,bip_cross_min.12.12.100.1,1596
opt,bip_cross_min.12.12.115.1,2233
opt,bip_cross_min.12.12.129.1,3061
opt,bip_cross_min.12.12.14.1,3
opt,bip_cross_min.12.12.28.1,35
opt,bip_cross_min.12.12.43.1,166
opt,bip_cross_min.12.12.57.1,298
opt,bip_cross_min.12.12.72.1,657
opt,bip_cross_min.12.12.86.1,1061
best,bip_cross_min.14.14.117.1,1973
best,bip_cross_min.14.14.137.1,2874
best,bip_cross_min.14.14.156.1,4310
best,bip_cross_min.14.14.176.1,5875
opt,bip_cross_min.14.14.19.1,4
opt,bip_cross_min.14.14.39.1,109
best,bip_cross_min.14.14.58.1,353
best,bip_cross_min.14.14.78.1,725
best,bip_cross_min.14.14.98.1,1355
best,bip_cross_min.16.16.102.1,1296
best,bip_cross_min.16.16.128.1,2340
best,bip_cross_min.16.16.153.1,3846
best,bip_cross_min.16.16.179.1,5515
best,bip_cross_min.16.16.204.1,7607
best,bip_cross_min.16.16.230.1,10420
opt,bip_cross_min.16.16.25.1,12
opt,bip_cross_min.16.16.51.1,155
best,bip_cross_min.16.16.76.1,565
opt,bip_cross_min.18.18.32.1,12
best,bip_cross_min.18.18.64.1,311
opt,bip_cross_min.20.20.40.1,57
best,bip_cross_min.20.20.80.1,520
best,bip_cross_min.22.22.48.1,84
best,bip_cross_min.22.22.96.1,944
best,bip_cross_min.24.24.115.1,1453
best,bip_cross_min.24.24.57.1,183
opt,bk4x3,350
opt,blend029,13.3594
bestdual,blend146,46.09540121
best,blend146,45.29656579
opt,blend2,7.599
opt,blend2.mps.cuts,7.599
inf,blend2_inf,
bestdual,blend480,9.22661
best,blend480,9.2266
bestdual,blend531,20.64799
best,blend531,20.039
bestdual,blend718,12.17479356
best,blend718,7.3936
opt,blend721,13.5268
best,blend852,53.96269993
bestdual,blend852,54.02109375
best,blendgap,-19134.61029
opt,bley_xl1,190
opt,blp-ic97,4025.02
opt,bm23,34
inf,bmc-ibm-2,
opt,bmc-ibm-5,2559
inf,bmc-ibm-7,
opt,bnatt350,0
opt,bnatt400,1
opt,bob,0
best,breast-cancer-wisconsin_q,12
opt,brock200_1.clq,21
opt,brock200_2.clq,12
opt,brock800_3.pr.10,-3795
opt,bs-2005-07-01-13-39-56,13512.5507
opt,bs-2005-07-20-10-45-15,205
opt,bs-2005-10-15-14-12-20,-3505
opt,bs-2006-03-24-17-15-01,-70
bestdual,btest14,-61.44088738
best,btest14,-59.81738781
opt,bug_502,3
opt,bug_503,7
opt,buildingenergy,33283.9
best,bupa_q,177
opt,c-fat200-5.clq,58
opt,c-fat500-1.clq,14
opt,c-fat500-1.pr.10,-2391
opt,c-fat500-2.pr.10,-2324
opt,c-fat500-5.pr.10,-2344
opt,c05100,-4411
opt,c20200,-9627
opt,ca36243,49
opt,ca57245,82
opt,camcns,0
best,camshape100,-4.284147122
bestdual,camshape100,-4.58132553
best,camshape200,-4.278500233
bestdual,camshape200,-4.913236602
bestdual,camshape400,-5.087317153
best,camshape400,-4.275688479
bestdual,camshape800,-5.227047158
best,camshape800,-4.274274142
opt,cap101,796648.438
opt,cap102,854704.2
opt,cap103,893782.113
opt,cap104,928941.75
opt,cap111,826124.713
opt,cap121,793439.562
opt,cap123,895302.325
opt,cap124,946051.325
opt,cap41,1040444.38
opt,cap42,1098000.45
opt,cap43,1153000.45
opt,cap44,1235500.45
opt,cap51,1025208.22
opt,cap6000,-2451377
inf,cap6000_inf,
opt,cap61,932615.75
opt,cap62,977799.4
opt,cap63,1014062.05
opt,cap64,1045650.25
opt,cap71,932615.75
opt,cap72,977799.4
opt,cap73,1010641.45
opt,cap74,1034976.97
opt,cap81,838499.287
opt,cap82,910889.562
opt,cap83,975889.562
opt,cap84,1069369.52
opt,cap91,796648.438
opt,cap92,855733.5
bestdual,cardqp_inlp,3433.00148
best,cardqp_inlp,3760.715066
best,cardqp_iqp,3760.715066
bestdual,cardqp_iqp,3430.853609
opt,carton7,191.7295481
best,carton9,205.1370794
bestdual,carton9,145.1499044
best,casctanks,9.163479388
bestdual,casctanks,9.044167481
bestdual,case_1scv2,52316419860
best,case_1scv2,7888.565553
best,catmix100,-0.0480693911
best,catmix200,-0.0480591228
best,catmix400,-0.048056518
best,catmix800,-0.0480558393
best,cdma,-1.96516711e+16
opt,cecil_13,-115656.4997
best,cesam2cent,0.5079604248
best,cesam2log,0.5079603686
bestdual,cesam2log,-660.0399393
opt,ch130,5600
bestdual,chain100,-131.8029046
best,chain100,5.069784611
bestdual,chain200,-266.8077578
best,chain200,5.068917342
bestdual,chain400,-447.1333594
best,chain400,5.068621695
best,chain50,5.072261494
bestdual,chain50,-49.77370804
opt,chakra,-179.1335579
opt,chance,29.89437816
opt,chem,-47.70651483
opt,chenery,-1058.919856
best,chp_partload,23.29810754
bestdual,chp_partload,20.1587
best,circ10-3,372
opt,circle,4.574247785
best,classical_200_0,-0.1109
best,classical_200_1,-0.1167
best,classical_200_2,-0.1101
best,classical_200_3,-0.1059
best,classical_200_4,-0.1098
best,classical_200_5,-0.1112
best,classical_200_6,-0.1029
best,classical_200_7,-0.1128
best,classical_200_8,-0.1158
best,classical_200_9,-0.1063
opt,classical_20_0,-0.0823
opt,classical_20_1,-0.0757
opt,classical_20_10,-0.0842
opt,classical_20_11,-0.0806
opt,classical_20_12,-0.0765
opt,classical_20_13,-0.0654
opt,classical_20_14,-0.0867
opt,classical_20_15,-0.0777
opt,classical_20_16,-0.0798
opt,classical_20_17,-0.0836
opt,classical_20_18,-0.0802
opt,classical_20_19,-0.0746
opt,classical_20_2,-0.0726
opt,classical_20_20,-0.0826
opt,classical_20_21,-0.0714
opt,classical_20_22,-0.0764
opt,classical_20_23,-0.0698
opt,classical_20_24,-0.0803
opt,classical_20_25,-0.0696
opt,classical_20_26,-0.0654
opt,classical_20_27,-0.0821
opt,classical_20_28,-0.0771
opt,classical_20_29,-0.0786
opt,classical_20_3,-0.0751
opt,classical_20_30,-0.0802
opt,classical_20_31,-0.0783
opt,classical_20_32,-0.0957
opt,classical_20_33,-0.0808
opt,classical_20_34,-0.0662
opt,classical_20_35,-0.0741
opt,classical_20_36,-0.0652
opt,classical_20_37,-0.0782
opt,classical_20_38,-0.0786
opt,classical_20_39,-0.0703
opt,classical_20_4,-0.0757
opt,classical_20_40,-0.0792
opt,classical_20_41,-0.0683
opt,classical_20_42,-0.0867
opt,classical_20_43,-0.0714
opt,classical_20_44,-0.0705
opt,classical_20_45,-0.0726
opt,classical_20_46,-0.0662
opt,classical_20_47,-0.0703
opt,classical_20_48,-0.0644
opt,classical_20_49,-0.072
opt,classical_20_5,-0.0742
opt,classical_20_50,-0.068
opt,classical_20_51,-0.0619
opt,classical_20_52,-0.0804
opt,classical_20_53,-0.0794
opt,classical_20_54,-0.0654
opt,classical_20_55,-0.0738
opt,classical_20_56,-0.079
opt,classical_20_57,-0.0674
opt,classical_20_58,-0.0714
opt,classical_20_59,-0.0767
opt,classical_20_6,-0.0731
opt,classical_20_60,-0.0662
opt,classical_20_61,-0.0678
opt,classical_20_62,-0.0769
opt,classical_20_63,-0.0742
opt,classical_20_64,-0.0693
opt,classical_20_65,-0.0815
opt,classical_20_66,-0.0735
opt,classical_20_67,-0.0832
opt,classical_20_68,-0.0767
opt,classical_20_69,-0.082
opt,classical_20_7,-0.0614
opt,classical_20_70,-0.0781
opt,classical_20_71,-0.0863
opt,classical_20_72,-0.0777
opt,classical_20_73,-0.0796
opt,classical_20_74,-0.0768
opt,classical_20_75,-0.0935
opt,classical_20_76,-0.0796
opt,classical_20_77,-0.0691
opt,classical_20_78,-0.0839
opt,classical_20_79,-0.0788
opt,classical_20_8,-0.0595
opt,classical_20_80,-0.0715
opt,classical_20_81,-0.0839
opt,classical_20_82,-0.0796
opt,classical_20_83,-0.0852
opt,classical_20_84,-0.0705
opt,classical_20_85,-0.0811
opt,classical_20_86,-0.0601
opt,classical_20_87,-0.0733
opt,classical_20_88,-0.076
opt,classical_20_89,-0.0843
opt,classical_20_9,-0.0659
opt,classical_20_90,-0.0776
opt,classical_20_91,-0.0732
opt,classical_20_92,-0.0741
opt,classical_20_93,-0.0746
opt,classical_20_94,-0.0844
opt,classical_20_95,-0.0687
opt,classical_20_96,-0.0825
opt,classical_20_97,-0.074
opt,classical_20_98,-0.0671
opt,classical_20_99,-0.0693
opt,classical_30_0,-0.0798
opt,classical_30_1,-0.0818
opt,classical_30_10,-0.0862
opt,classical_30_11,-0.0765
opt,classical_30_12,-0.0837
opt,classical_30_13,-0.0892
opt,classical_30_14,-0.0795
opt,classical_30_15,-0.0735
opt,classical_30_16,-0.0805
opt,classical_30_17,-0.0769
opt,classical_30_18,-0.0871
opt,classical_30_19,-0.089
opt,classical_30_2,-0.0849
opt,classical_30_20,-0.0857
opt,classical_30_21,-0.0928
opt,classical_30_22,-0.0791
opt,classical_30_23,-0.0883
opt,classical_30_24,-0.0787
opt,classical_30_25,-0.0838
opt,classical_30_26,-0.0949
opt,classical_30_27,-0.082
opt,classical_30_28,-0.08
opt,classical_30_29,-0.0864
opt,classical_30_3,-0.0835
opt,classical_30_30,-0.0763
opt,classical_30_31,-0.0741
opt,classical_30_32,-0.0826
opt,classical_30_33,-0.0896
opt,classical_30_34,-0.0831
opt,classical_30_35,-0.0712
opt,classical_30_36,-0.0827
opt,classical_30_37,-0.0877
opt,classical_30_38,-0.0735
opt,classical_30_39,-0.0842
opt,classical_30_4,-0.0748
opt,classical_30_40,-0.0858
opt,classical_30_41,-0.077
opt,classical_30_42,-0.0859
opt,classical_30_43,-0.0853
opt,classical_30_44,-0.0829
opt,classical_30_45,-0.0865
opt,classical_30_46,-0.0721
opt,classical_30_47,-0.0873
opt,classical_30_48,-0.0769
opt,classical_30_49,-0.0762
opt,classical_30_5,-0.0939
opt,classical_30_50,-0.0894
opt,classical_30_51,-0.0847
opt,classical_30_52,-0.0768
opt,classical_30_53,-0.079
opt,classical_30_54,-0.0746
opt,classical_30_55,-0.0778
opt,classical_30_56,-0.0831
opt,classical_30_57,-0.0852
opt,classical_30_58,-0.0797
opt,classical_30_59,-0.0829
opt,classical_30_6,-0.0841
opt,classical_30_60,-0.0691
opt,classical_30_61,-0.0753
opt,classical_30_62,-0.0739
opt,classical_30_63,-0.0794
opt,classical_30_64,-0.0864
opt,classical_30_65,-0.0743
opt,classical_30_66,-0.0689
opt,classical_30_67,-0.0799
opt,classical_30_68,-0.0815
opt,classical_30_69,-0.0791
opt,classical_30_7,-0.0823
opt,classical_30_70,-0.0971
opt,classical_30_71,-0.0828
opt,classical_30_72,-0.0829
opt,classical_30_73,-0.0852
opt,classical_30_74,-0.0822
opt,classical_30_75,-0.094
opt,classical_30_76,-0.0845
opt,classical_30_77,-0.0714
opt,classical_30_78,-0.082
opt,classical_30_79,-0.0761
opt,classical_30_8,-0.0811
opt,classical_30_80,-0.0801
opt,classical_30_81,-0.0836
opt,classical_30_82,-0.0817
opt,classical_30_83,-0.0739
opt,classical_30_84,-0.0842
opt,classical_30_85,-0.0885
opt,classical_30_86,-0.0831
opt,classical_30_87,-0.0823
opt,classical_30_88,-0.0925
opt,classical_30_89,-0.0716
opt,classical_30_9,-0.083
opt,classical_30_90,-0.0874
opt,classical_30_91,-0.0956
opt,classical_30_92,-0.0773
opt,classical_30_93,-0.0789
opt,classical_30_94,-0.082
opt,classical_30_95,-0.0725
opt,classical_30_96,-0.0744
opt,classical_30_97,-0.0744
opt,classical_30_98,-0.0821
opt,classical_30_99,-0.084
opt,classical_40_0,-0.0815
opt,classical_40_1,-0.0847
opt,classical_40_10,-0.0864
opt,classical_40_11,-0.0899
opt,classical_40_12,-0.0904
opt,classical_40_13,-0.0931
opt,classical_40_14,-0.088
opt,classical_40_15,-0.0799
opt,classical_40_16,-0.0878
opt,classical_40_17,-0.0865
opt,classical_40_18,-0.083
opt,classical_40_19,-0.0767
opt,classical_40_2,-0.0932
opt,classical_40_20,-0.0974
opt,classical_40_21,-0.0833
opt,classical_40_22,-0.0995
opt,classical_40_23,-0.0862
opt,classical_40_24,-0.0826
opt,classical_40_25,-0.092
opt,classical_40_26,-0.0873
opt,classical_40_27,-0.1006
opt,classical_40_28,-0.0971
opt,classical_40_29,-0.0882
opt,classical_40_3,-0.0828
opt,classical_40_30,-0.0853
opt,classical_40_31,-0.0799
opt,classical_40_32,-0.0837
opt,classical_40_33,-0.0858
opt,classical_40_34,-0.0872
opt,classical_40_35,-0.0973
opt,classical_40_36,-0.0929
opt,classical_40_37,-0.0949
opt,classical_40_38,-0.0886
opt,classical_40_39,-0.0834
opt,classical_40_4,-0.0808
opt,classical_40_40,-0.0932
opt,classical_40_41,-0.0773
opt,classical_40_42,-0.0974
opt,classical_40_43,-0.0897
opt,classical_40_44,-0.0939
opt,classical_40_45,-0.08
opt,classical_40_46,-0.0823
opt,classical_40_47,-0.0862
opt,classical_40_48,-0.0834
opt,classical_40_49,-0.0817
opt,classical_40_5,-0.0816
opt,classical_40_50,-0.1034
opt,classical_40_51,-0.0976
opt,classical_40_52,-0.0867
opt,classical_40_53,-0.0954
opt,classical_40_54,-0.085
opt,classical_40_55,-0.0934
opt,classical_40_56,-0.0813
opt,classical_40_57,-0.096
opt,classical_40_58,-0.0875
opt,classical_40_59,-0.0789
opt,classical_40_6,-0.0887
opt,classical_40_60,-0.093
opt,classical_40_61,-0.0917
opt,classical_40_62,-0.0756
opt,classical_40_63,-0.0877
opt,classical_40_64,-0.0981
opt,classical_40_65,-0.0875
opt,classical_40_66,-0.0872
